0.792,-0.026149,-4.4417,-0.20467,9.2998,0.19323,1.3815,0.019599,0.06887,-0.46793,0.0086342,-1.5596,0.015414,0.79458,-0.15432,0.22731,-0.055313,-0.0069793,-1.1306,-0.024014,0.97585,-0.65257,0.00013411,0.0015199,-0.00027008,0.0016689,-0.00062305,0.00017881,-0.0062138,0.025466,4.4148,0.20358,-9.2738,-0.19301,-1.3815,-0.019457,-0.90717,0.24394,-1.288,1.2046e-05,9.4121e-06,-0.00017542
0.805,-0.032118,-4.631,-0.21393,9.4655,0.19419,1.3796,0.02059,0.071836,-0.4685,0.0085197,-1.5741,0.015045,0.80726,-0.16334,0.22901,-0.034362,-0.010398,-1.1048,-0.032174,0.97567,-0.72898,0.00014156,0.0016689,-0.00027288,0.0016689,-0.00063796,0.00017881,-0.0056177,0.030965,4.5966,0.21213,-9.4373,-0.19405,-1.38,-0.020408,-0.89797,0.25456,-1.2911,1.2257e-05,6.587e-06,-0.00015851
0.544,0.10194,-2.7883,0.075328,6.3953,0.17579,1.2039,0.019313,0.021008,-0.40658,0.005194,-1.2376,-0.0016688,0.54743,-0.17975,0.13949,-0.3981,0.0238,-1.3354,0.11364,0.95844,0.26341,0.00055134,0.00053644,-1.6764e-05,-0.0014305,0.0001872,0.0017881,0.0024438,-0.1026,2.7868,-0.077045,-6.3756,-0.17569,-1.2034,-0.01928,0.18925,-0.052756,-0.86872,-4.5025e-06,1.3003e-06,5.8557e-05
0.334,0.11738,-3.1418,0.13354,5.1518,0.16249,1.1932,0.017612,0.0048914,-0.33944,0.0012922,-1.0422,-0.015633,0.41182,-0.17954,0.019415,-0.11811,0.0068857,-0.29719,-0.0072457,0.24787,-0.24037,0.00036834,-0.0023544,0.00014389,-0.0066757,0.00075158,0.0040233,0.0015497,-0.11558,3.1572,-0.13043,-5.1626,-0.16183,-1.1953,-0.017731,0.18886,-0.047844,-0.86226,-1.5603e-06,-2.6615e-06,1.0731e-05
0.524,0.10894,-2.7001,0.093052,6.1604,0.17435,1.2013,0.018572,0.018327,-0.39855,0.0047168,-1.2112,-0.0039084,0.52865,-0.18454,0.12793,-0.40498,0.023854,-1.3001,0.10995,0.91678,0.21328,0.00059791,-5.9605e-05,8.8476e-06,-0.002265,0.00018393,0.0023246,0.0024736,-0.10977,2.7164,-0.095057,-6.1493,-0.17433,-1.2007,-0.018602,0.18518,-0.052736,-0.8658,-3.3903e-06,-2.9464e-06,5.6579e-05
0.284,0.052203,-4.0756,0.020213,5.953,0.1384,1.3377,0.022072,0.004274,-0.33614,0.0011125,-1.0341,-0.014562,0.40532,-0.16601,0.0077509,-0.021875,0.00039639,-0.057101,-0.030177,-0.022978,-0.28759,3.7253e-05,-0.0012517,0.00013551,-0.0020266,-1.2107e-05,0.0083149,-0.00013411,-0.049074,4.1498,-0.014772,-6.0159,-0.13715,-1.3495,-0.022282,0.20369,-0.030316,-0.95974,4.5329e-05,0.00025176,-9.0044e-06
0.494,0.11964,-2.6581,0.11909,5.8543,0.17319,1.1967,0.017656,0.014753,-0.38639,0.0040069,-1.1732,-0.0070921,0.50219,-0.18982,0.1096,-0.40263,0.023341,-1.223,0.10133,0.84215,0.13532,0.00061933,-0.00014901,3.0268e-05,-0.0029802,0.0003851,0.0028014,0.0026375,-0.12032,2.6528,-0.12073,-5.8328,-0.17315,-1.1964,-0.017576,0.17876,-0.053594,-0.86,-4.8351e-06,-2.4447e-06,5.391e-05
0.556,0.097427,-2.8356,0.063907,6.5327,0.17674,1.2053,0.019689,0.022725,-0.41132,0.0054787,-1.2537,-0.00029558,0.55908,-0.1764,0.14613,-0.39145,0.023638,-1.3509,0.11507,0.98067,0.2925,0.00055879,0.00062585,-2.9802e-05,-0.0010729,9.4473e-05,0.0015497,0.0023991,-0.098011,2.8223,-0.06552,-6.506,-0.17651,-1.2048,-0.019613,0.19252,-0.052209,-0.87282,-4.4542e-06,-2.7051e-06,5.7146e-05
0.674,0.039148,-3.2418,-0.077054,7.8434,0.18573,1.3186,0.016342,0.043304,-0.45024,0.0079269,-1.4147,0.012933,0.68215,-0.12968,0.20062,-0.24691,0.016474,-1.3166,0.079811,0.97048,0.30224,0.00043213,0.0016093,-0.00010058,0.0015497,-0.0014389,-0.0033975,-0.0088513,-0.041044,3.2462,0.073044,-7.824,-0.18574,-1.3118,-0.016694,-0.92134,0.19074,-1.2299,1.5955e-05,-0.00012419,-0.00024432
0.414,0.14031,-2.7277,0.16831,5.2088,0.17266,1.1814,0.015627,0.0079698,-0.35694,0.0023103,-1.0885,-0.013635,0.44486,-0.19236,0.0598,-0.31042,0.01793,-0.84806,0.056381,0.57185,-0.071958,0.00060443,-0.0019073,0.00011153,-0.0061989,0.0006929,0.0041127,0.0023693,-0.14054,2.7353,-0.16894,-5.1989,-0.17262,-1.181,-0.015615,0.16942,-0.052908,-0.84492,-4.3726e-06,-1.0725e-05,3.4189e-05
