0.685,1.5539,-2.0549,3.227,9.82,0.67076,1.6057,-0.046219,1.0588,-0.69927,-0.0039218,-1.7457,-0.002915,1.0464,-0.53383,-0.23496,-0.0013113,0.0060182,0.0044107,0.004529,-0.0058413,-0.15652,-234.96,-1.3113,6.0182,4.4107,4.529,-5.8412,-156.52,-1.6883,2.0281,-3.5177,-9.8032,-0.70799,-1.6054,0.050198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2063,-0.13159,9.9459,0.23579,1.6096,-1.6486e-07,-0.32179,-0.49865,-1.9418,0.0040029,0.00089046,-6.0453e-08
0.69,1.2382,-2.1385,2.5436,9.8451,0.58317,1.601,-0.036813,1.0577,-0.69927,-0.0038482,-1.7456,-0.002861,1.0464,-0.5345,-0.21386,-0.0010133,0.020049,0.0032186,0.014737,-0.0041723,-0.12267,21.1,0.29802,14.03,-1.1921,10.208,1.6689,33.855,-1.3586,2.105,-2.8043,-9.8363,-0.61665,-1.6031,0.040408,1.0588,-0.69927,-0.0039218,-1.7457,-0.002915,1.0464,-0.53383,0,0,0,0,0,0,0,-5.5511e-17,-2.206,-0.13248,9.9457,0.23588,1.6097,-7.5872e-08,-0.25635,-0.40224,-1.946,0.00065631,-0.00020209,-4.9945e-08
0.695,0.95579,-2.2588,1.9322,9.8742,0.50465,1.5936,-0.028295,1.0567,-0.69928,-0.003714,-1.7456,-0.0027611,1.0464,-0.53504,-0.19717,-0.0014305,0.031168,0.0013113,0.023055,-0.002861,-0.096381,16.689,-0.41723,11.119,-1.9074,8.3174,1.3113,26.286,-1.067,2.2026,-2.1731,-9.86,-0.53543,-1.5968,0.031652,1.0577,-0.69927,-0.0038482,-1.7456,-0.002861,1.0464,-0.5345,1.0588,-0.69927,-0.0039218,-1.7457,-0.002915,1.0464,-0.53383,0,-2.2058,-0.13403,9.9456,0.23595,1.6097,-1.0298e-07,-0.19721,-0.31881,-1.9419,-0.00023862,-0.00063616,-4.0432e-08
0.7,0.7077,-2.3949,1.3945,9.8985,0.43548,1.5835,-0.020731,1.0557,-0.69929,-0.0035326,-1.7456,-0.0026255,1.0463,-0.53546,-0.18454,-0.0029206,0.039473,-0.0014305,0.029456,-0.0015497,-0.07689,12.636,-1.4901,8.3048,-2.7418,6.401,1.3113,19.491,-0.80544,2.3278,-1.6064,-9.8826,-0.46267,-1.5875,0.023734,1.0567,-0.69928,-0.003714,-1.7456,-0.0027611,1.0464,-0.53504,1.0577,-0.69927,-0.0038482,-1.7456,-0.002861,1.0464,-0.5345,5.5511e-17,-2.2055,-0.1361,9.9455,0.23601,1.6097,-2.2314e-07,-0.1346,-0.24744,-1.9365,0.00098951,0.0024725,-3.673e-08
0.705,0.47983,-2.5431,0.90015,9.9191,0.37207,1.5715,-0.013749,1.0548,-0.69931,-0.003315,-1.7457,-0.0024641,1.0463,-0.5358,-0.17524,-0.0055432,0.045854,-0.005126,0.033919,-0.00047684,-0.063121,9.2983,-2.6226,6.3812,-3.6955,4.4634,1.0729,13.769,-0.5672,2.4841,-1.0898,-9.9143,-0.39641,-1.5772,0.016436,1.0557,-0.69929,-0.0035326,-1.7456,-0.0026255,1.0463,-0.53546,1.0567,-0.69928,-0.003714,-1.7456,-0.0027611,1.0464,-0.53504,-5.5511e-17,-2.2051,-0.13857,9.9455,0.23605,1.6097,-1.7239e-07,-0.080468,-0.1832,-1.9337,-0.0013943,0.0016742,-3.0907e-08
0.71,0.28119,-2.6998,0.469,9.9352,0.31637,1.5579,-0.0075733,1.054,-0.69935,-0.0030724,-1.7457,-0.002284,1.0463,-0.53609,-0.16928,-0.0092983,0.049862,-0.0097752,0.037268,0.00035763,-0.054955,5.9605,-3.7551,4.0087,-4.6492,3.3486,0.83447,8.1658,-0.35843,2.6294,-0.63659,-9.9269,-0.33811,-1.5637,0.010002,1.0548,-0.69931,-0.003315,-1.7457,-0.0024641,1.0463,-0.5358,1.0557,-0.69929,-0.0035326,-1.7456,-0.0026255,1.0463,-0.53546,-5.5511e-17,-2.2045,-0.14131,9.9455,0.23609,1.6097,-1.2782e-07,-0.029421,-0.12715,-1.9241,-0.0012526,0.0020658,-2.6143e-08
0.715,0.10207,-2.8678,0.079504,9.9606,0.26652,1.5449,-0.0019734,1.0531,-0.69941,-0.0028146,-1.7458,-0.0020922,1.0464,-0.53635,-0.16653,-0.014663,0.052413,-0.01657,0.038914,0.0016689,-0.05132,2.7418,-5.3644,2.5509,-6.7949,1.6461,1.3113,3.6359,-0.17057,2.8018,-0.22851,-9.9512,-0.28562,-1.55,0.0041179,1.054,-0.69935,-0.0030724,-1.7457,-0.002284,1.0463,-0.53609,1.0548,-0.69931,-0.003315,-1.7457,-0.0024641,1.0463,-0.5358,5.5511e-17,-2.2036,-0.14422,9.9455,0.23613,1.6097,-1.5857e-07,0.017521,-0.077994,-1.9172,-0.0022304,0.0010357,-2.028e-08
0.72,-0.057795,-3.0124,-0.26845,9.9663,0.22163,1.5303,0.0030415,1.0523,-0.69951,-0.0025495,-1.7459,-0.0018953,1.0464,-0.53661,-0.16606,-0.021458,0.053184,-0.02408,0.039525,0.0026226,-0.052333,0.47684,-6.7949,0.77114,-7.5102,0.61118,0.95367,-1.0133,-0.0052774,2.9558,0.13118,-9.9655,-0.23941,-1.5363,-0.0010581,1.0531,-0.69941,-0.0028146,-1.7458,-0.0020922,1.0464,-0.53635,1.054,-0.69935,-0.0030724,-1.7457,-0.002284,1.0463,-0.53609,-5.5511e-17,-2.2022,-0.14722,9.9456,0.23617,1.6097,-1.6106e-07,0.064851,-0.037071,-1.9087,-0.0034471,0.0028843,-1.8822e-08
0.725,-0.20143,-3.1758,-0.58145,9.9838,0.18139,1.5161,0.0076157,1.0515,-0.69964,-0.0022848,-1.746,-0.0016985,1.0464,-0.53688,-0.16797,-0.029445,0.052634,-0.033379,0.039131,0.0039339,-0.056744,-1.9074,-7.987,-0.55041,-9.2983,-0.39337,1.3113,-4.4107,0.14553,3.1152,0.45958,-9.9811,-0.19709,-1.5222,-0.00584,1.0523,-0.69951,-0.0025495,-1.7459,-0.0018953,1.0464,-0.53661,1.0531,-0.69941,-0.0028146,-1.7458,-0.0020922,1.0464,-0.53635,5.5511e-17,-2.2003,-0.15023,9.9457,0.23621,1.6098,-1.896e-07,0.10566,0.00096291,-1.8978,-0.002047,0.0034668,-1.7037e-08
0.73,-0.32399,-3.3226,-0.84911,9.9971,0.14703,1.5029,0.011536,1.0506,-0.69981,-0.0020273,-1.7462,-0.0015073,1.0464,-0.53719,-0.17202,-0.039101,0.050515,-0.044346,0.037525,0.0052452,-0.064611,-4.0531,-9.656,-2.1192,-10.967,-1.6065,1.3113,-7.8678,0.27987,3.2705,0.75264,-9.9976,-0.15946,-1.5087,-0.010122,1.0515,-0.69964,-0.0022848,-1.746,-0.0016985,1.0464,-0.53688,1.0523,-0.69951,-0.0025495,-1.7459,-0.0018953,1.0464,-0.53661,-5.5511e-17,-2.1978,-0.15316,9.9459,0.23626,1.6098,-1.6586e-07,0.14322,0.033368,-1.8913,-0.0028066,0.0037752,-1.5541e-08
0.735,-0.43713,-3.4674,-1.0963,10.009,0.11511,1.4895,0.015196,1.0497,-0.70004,-0.0017832,-1.7465,-0.0013261,1.0464,-0.53754,-0.17762,-0.049889,0.047392,-0.056505,0.035382,0.0066757,-0.075817,-5.6028,-10.788,-3.1232,-12.159,-2.143,1.4305,-11.206,0.39726,3.4146,1.0091,-10.005,-0.12647,-1.4945,-0.013894,1.0506,-0.69981,-0.0020273,-1.7462,-0.0015073,1.0464,-0.53719,1.0515,-0.69964,-0.0022848,-1.746,-0.0016985,1.0464,-0.53688,-5.5511e-17,-2.1946,-0.15597,9.9462,0.23631,1.6098,-1.5868e-07,0.17519,0.062195,-1.8813,-0.0042741,0.0025157,-1.3138e-08
