0.036,0.011115,5.797,-0.139,1.7087,0.055172,1.6357,-0.032405,6.0805e-05,-0.69542,0.0029157,-1.0407,-0.011507,0.51339,-0.11391,0.0026502,0.071108,0.0023502,0.16761,-0.027477,-0.35226,-0.28644,0.0026502,0.071108,0.0023502,0.16761,-0.027477,-0.35226,-0.28644,-1.1102e-16,-5.0398,0.14607,-2.3724,-0.062297,-1.4918,0.01664,-0.12269,0.023543,-0.90816,-1.1022e-05,-0.00016009,-8.1907e-05
0.037,0.011384,5.8086,-0.13899,1.704,0.055066,1.6413,-0.032706,6.3515e-05,-0.69535,0.0029181,-1.0406,-0.011535,0.51304,-0.1142,0.0027092,0.07087,0.0024214,0.16713,-0.028056,-0.35608,-0.28945,5.8946e-05,-0.00023842,7.1246e-05,-0.00047684,-0.00057928,-0.0038147,-0.00301,-5.5511e-17,-5.0399,0.14607,-2.3713,-0.062275,-1.4917,0.016607,-0.12375,0.023912,-0.90636,-9.0992e-06,-0.00015116,-8.0378e-05
0.038,0.011154,5.7671,-0.13927,1.7405,0.055384,1.6417,-0.032232,6.6255e-05,-0.69528,0.0029206,-1.0404,-0.011564,0.51269,-0.11449,0.0027405,0.067473,0.0024969,0.15891,-0.029241,-0.34636,-0.29482,3.1279e-05,-0.0033975,7.5437e-05,-0.0082254,-0.0011846,0.0097156,-0.0053719,-0.011115,-5.797,0.139,-1.7087,-0.055172,-1.6357,0.032405,-0.27236,0.047403,-0.9139,4.177e-05,0.00017931,-0.00013599
0.039,0.010938,5.7318,-0.13968,1.7719,0.055719,1.6412,-0.03177,6.9055e-05,-0.69522,0.0029232,-1.0403,-0.011594,0.51235,-0.11479,0.0027996,0.064015,0.0025891,0.15092,-0.030526,-0.33611,-0.3002,5.9161e-05,-0.0034571,9.2201e-05,-0.007987,-0.0012852,0.010252,-0.0053793,-0.011384,-5.8086,0.13899,-1.704,-0.055066,-1.6413,0.032706,-0.27623,0.048215,-0.91319,4.5194e-05,0.00019557,-0.00013586
0.04,0.010704,5.686,-0.13983,1.8066,0.056086,1.6404,-0.031272,7.1896e-05,-0.69516,0.0029258,-1.0401,-0.011626,0.51203,-0.1151,0.0028414,0.060737,0.0026564,0.14317,-0.031679,-0.32616,-0.30544,4.1749e-05,-0.0032783,6.7288e-05,-0.0077486,-0.001153,0.009954,-0.0052378,-0.011154,-5.7671,0.13927,-1.7405,-0.055384,-1.6417,0.032232,-0.27276,0.047266,-0.91717,4.2695e-05,0.00019589,-0.00013328
0.041,0.010469,5.6345,-0.13996,1.8432,0.056462,1.6394,-0.030761,7.4771e-05,-0.6951,0.0029285,-1.04,-0.011659,0.51171,-0.11541,0.0028748,0.057519,0.0027232,0.13554,-0.032804,-0.31656,-0.31068,3.3455e-05,-0.0032186,6.6822e-05,-0.0076294,-0.001125,0.0095964,-0.0052452,-0.010938,-5.7318,0.13968,-1.7719,-0.055719,-1.6412,0.03177,-0.26745,0.046579,-0.9198,4.0543e-05,0.00018273,-0.00013385
0.042,0.010256,5.5852,-0.13999,1.8763,0.056861,1.6379,-0.030273,7.7689e-05,-0.69505,0.0029313,-1.0399,-0.011693,0.5114,-0.11573,0.0029184,0.054419,0.0027884,0.12839,-0.033934,-0.3072,-0.31584,4.359e-05,-0.0030994,6.5193e-05,-0.0071526,-0.0011297,0.0093579,-0.0051558,-0.010704,-5.686,0.13983,-1.8066,-0.056086,-1.6404,0.031272,-0.26433,0.046284,-0.92309,4.0676e-05,0.00018338,-0.00013091
0.043,0.010023,5.5256,-0.13995,1.913,0.057276,1.636,-0.029743,8.0625e-05,-0.69499,0.0029342,-1.0397,-0.011728,0.51111,-0.11605,0.0029355,0.051439,0.0028433,0.12136,-0.034956,-0.29796,-0.32072,1.7026e-05,-0.0029802,5.4948e-05,-0.0070334,-0.0010226,0.0092387,-0.0048876,-0.010469,-5.6345,0.13996,-1.8432,-0.056462,-1.6394,0.030761,-0.26106,0.045343,-0.92122,3.9536e-05,0.00018973,-0.00012637
0.044,0.0098095,5.4695,-0.13993,1.9475,0.057697,1.6341,-0.029239,8.3593e-05,-0.69495,0.0029371,-1.0396,-0.011764,0.51082,-0.11637,0.0029677,0.048339,0.0029046,0.11432,-0.036042,-0.28896,-0.32578,3.2283e-05,-0.0030994,6.1234e-05,-0.0070333,-0.0010859,0.0090003,-0.0050589,-0.010256,-5.5852,0.13999,-1.8763,-0.056861,-1.6379,0.030273,-0.25471,0.045063,-0.92422,3.8484e-05,0.00017065,-0.00012913
0.045,0.0095834,5.4028,-0.13978,1.9851,0.05813,1.6319,-0.028702,8.6568e-05,-0.6949,0.00294,-1.0395,-0.011801,0.51054,-0.1167,0.0029753,0.045478,0.0029507,0.10765,-0.036997,-0.28038,-0.33063,7.5742e-06,-0.002861,4.61e-05,-0.0066757,-0.00095461,0.0085831,-0.0048429,-0.010023,-5.5256,0.13995,-1.913,-0.057276,-1.636,0.029743,-0.25223,0.04417,-0.92607,3.7023e-05,0.00017854,-0.00012376
