0.73	0.188953	-0.65071	0.774601	7.40462	0.0464486	2.072	0.0830128	2.80785	-0.713873	-0.0138167	-1.4305	-0.0137681	0.716723	-1.64916	-0.335216	0.281811	0.0018049	0.351667	0.00516139	-0.069797	-1.29437	-335.216	281.811	1.8049	351.667	5.16139	-69.797	-1294.37	-0.182495	0.642519	-0.809141	-7.40695	-0.0449344	-2.07626	-0.0835597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21376	-0.134975	6.74163	0.289272	1.55655	5.21324e-08	-0.22354	-0.125459	-1.85167	0.552488	-0.443598	2.11278e-06	
0.735	0.49125	-5.29331	1.87032	7.62446	0.576457	1.01268	-0.0422863	2.8062	-0.712573	-0.0137773	-1.42888	-0.0137131	0.716401	-1.6548	-0.326633	0.23526	0.0134083	0.292659	0.0163605	-0.0574589	-1.09243	8.58307	-46.5512	11.6033	-59.0086	11.1992	12.3382	201.94	-0.535139	5.828	-2.04803	-7.69264	-0.603853	-0.96278	0.0464671	2.80785	-0.713873	-0.0138167	-1.4305	-0.0137681	0.716723	-1.64916	0	0	0	0	0	0	0	5.55112e-17	1.19854	-0.135681	6.73749	0.289565	1.55584	2.92027e-08	-0.391629	-0.483688	-1.43914	0.0317433	-0.0321202	1.09069e-07	
0.74	0.394458	-4.09269	1.47866	7.45414	0.515536	1.12119	-0.0329161	2.80459	-0.711576	-0.0136704	-1.42764	-0.0135943	0.716163	-1.66011	-0.32115	0.177026	0.0261851	0.218034	0.02841	-0.0412464	-1.04308	5.48363	-58.2337	12.7768	-74.625	12.0494	16.2125	49.3526	-0.430297	4.5455	-1.62382	-7.51858	-0.538172	-1.08032	0.0364314	2.8062	-0.712573	-0.0137773	-1.42888	-0.0137131	0.716401	-1.6548	2.80785	-0.713873	-0.0138167	-1.4305	-0.0137681	0.716723	-1.64916	5.55112e-17	1.1869	-0.137137	6.73428	0.28986	1.55516	1.43916e-08	-0.319155	-0.3936	-1.53425	0.0340526	-0.0323423	1.12522e-07	
0.745	0.308821	-3.12267	1.13468	7.32022	0.462313	1.20942	-0.0250926	2.803	-0.710836	-0.0135072	-1.42674	-0.013423	0.715999	-1.66519	-0.316381	0.129521	0.0366233	0.156641	0.0379505	-0.0274777	-0.998139	4.76837	-47.5049	10.4383	-61.3928	9.54047	13.7687	44.942	-0.340742	3.47232	-1.26274	-7.36176	-0.481963	-1.1761	0.0279492	2.80459	-0.711576	-0.0136704	-1.42764	-0.0135943	0.716163	-1.66011	2.8062	-0.712573	-0.0137773	-1.42888	-0.0137131	0.716401	-1.6548	0	1.17832	-0.139221	6.73186	0.29016	1.55451	2.90579e-08	-0.255579	-0.314535	-1.61589	0.0304666	-0.0312832	1.10986e-07	
0.75	0.238102	-2.32262	0.850976	7.20386	0.418231	1.28105	-0.0186028	2.80143	-0.710308	-0.0132995	-1.42611	-0.01321	0.715895	-1.67006	-0.313044	0.0907183	0.0445656	0.106573	0.0454672	-0.0164509	-0.957131	3.33783	-38.8026	7.94232	-50.0679	7.5167	11.0269	41.008	-0.265056	2.62053	-0.958948	-7.24603	-0.43498	-1.25421	0.0210367	2.803	-0.710836	-0.0135072	-1.42674	-0.013423	0.715999	-1.66519	2.80459	-0.711576	-0.0136704	-1.42764	-0.0135943	0.716163	-1.66011	0	1.17223	-0.141798	6.73009	0.290463	1.55388	1.51477e-08	-0.203011	-0.257308	-1.67674	0.0344288	-0.0321972	1.18042e-07	
0.755	0.173957	-1.66517	0.595524	7.10566	0.378659	1.33917	-0.0130629	2.79987	-0.709953	-0.0130566	-1.42571	-0.0129641	0.715841	-1.67473	-0.310183	0.0587702	0.0509694	0.0652075	0.0512665	-0.00709295	-0.918627	2.86102	-31.9481	6.40377	-41.3656	5.79935	9.35793	38.5046	-0.197238	1.92818	-0.688801	-7.15059	-0.393207	-1.31733	0.0151886	2.80143	-0.710308	-0.0132995	-1.42611	-0.01321	0.715895	-1.67006	2.803	-0.710836	-0.0135072	-1.42674	-0.013423	0.715999	-1.66519	1.11022e-16	1.16818	-0.144764	6.72887	0.290767	1.55328	1.74237e-09	-0.155871	-0.209916	-1.72849	0.0353206	-0.0311542	1.20664e-07	
0.76	0.119999	-1.14715	0.381386	7.02749	0.345515	1.38466	-0.0085722	2.79832	-0.709738	-0.0127872	-1.42549	-0.0126936	0.71583	-1.67921	-0.308514	0.033021	0.0556642	0.0315905	0.0556996	0.000715256	-0.882983	1.66893	-25.7492	4.6948	-33.617	4.4331	7.80821	35.6436	-0.140938	1.33964	-0.46429	-7.05757	-0.358339	-1.36803	0.01027	2.79987	-0.709953	-0.0130566	-1.42571	-0.0129641	0.715841	-1.67473	2.80143	-0.710308	-0.0132995	-1.42611	-0.01321	0.715895	-1.67006	-1.11022e-16	1.16577	-0.148021	6.72811	0.291071	1.5527	3.97584e-08	-0.116324	-0.169173	-1.76802	0.0362131	-0.0317815	1.24609e-07	
0.765	0.0736322	-0.711621	0.197584	6.95761	0.31705	1.42191	-0.00475544	2.79678	-0.709641	-0.0124985	-1.42542	-0.0124052	0.715854	-1.68353	-0.30756	0.0113249	0.0589741	0.00321865	0.0588726	0.00739098	-0.849724	0.953674	-21.6961	3.30992	-28.3718	3.17302	6.67572	33.2594	-0.0912431	0.864978	-0.26725	-6.97965	-0.327742	-1.40831	0.00613839	2.79832	-0.709738	-0.0127872	-1.42549	-0.0126936	0.71583	-1.67921	2.79987	-0.709953	-0.0130566	-1.42571	-0.0129641	0.715841	-1.67473	-5.55112e-17	1.16472	-0.151491	6.72774	0.291373	1.55214	2.71398e-08	-0.08162	-0.135868	-1.80202	0.0346577	-0.0310094	1.24632e-07	
0.77	0.032881	-0.37319	0.0367556	6.90386	0.292341	1.45086	-0.00162821	2.79525	-0.709639	-0.0121964	-1.42547	-0.0121043	0.715908	-1.68768	-0.307083	-0.0064373	0.0611925	-0.0203848	0.0608861	0.013113	-0.818372	0.476837	-17.7622	2.21841	-23.6034	2.01352	5.72205	31.352	-0.0473999	0.500943	-0.0943171	-6.92531	-0.301213	-1.44035	0.00277058	2.79678	-0.709641	-0.0124985	-1.42542	-0.0124052	0.715854	-1.68353	2.79832	-0.709738	-0.0127872	-1.42549	-0.0126936	0.71583	-1.67921	1.11022e-16	1.16476	-0.155108	6.72771	0.291673	1.5516	-2.15215e-08	-0.0513586	-0.114762	-1.82546	0.0380349	-0.0302503	1.27375e-07	
0.775	-0.00126822	-0.094109	-0.0982082	6.85583	0.271616	1.47373	0.000966554	2.79371	-0.709718	-0.0118862	-1.42564	-0.0117963	0.715988	-1.69168	-0.30756	-0.0215173	0.0623772	-0.0405312	0.0620456	0.0181794	-0.788569	-0.476837	-15.08	1.18464	-20.1464	1.1595	5.0664	29.8023	-0.00990354	0.187005	0.0538106	-6.86929	-0.278453	-1.46566	-0.000109219	2.79525	-0.709639	-0.0121964	-1.42547	-0.0121043	0.715908	-1.68768	2.79678	-0.709641	-0.0124985	-1.42542	-0.0124052	0.715854	-1.68353	0	1.1657	-0.158814	6.72798	0.291971	1.55107	-3.46414e-08	-0.0253798	-0.093873	-1.84499	0.0379409	-0.0301615	1.30417e-07	
